"Delay","Load","Wind","Temp","Turnaround","ArrDep","WindDir","Precip","Date","SchDepTime","Terminal","Delayed","Airport"
27.1,"80.7%","9.1","5","1H 57M",2,"W","rain","22-Feb-21","20:15","T1","yes","Aberdeen"
10,"80.9%","2.8","0.2","2H 1M",3,"W","snowice","23-Feb-21","20:15","T2","yes","Aberdeen"
18.6,"75.4%","3.3","11.6","1H 31M",6,"E","rain","24-Feb-21","20:15","T2","yes","Aberdeen"
16.3,"75.9%","8.3","4.6","1H 14M",4,"W","rain","25-Feb-21","14:10","T2","yes","Aberdeen"
0,"76%","4.3","-0.2","1H 13M",6,"E","rain","26-Feb-21","14:10","T2","no","Aberdeen"
10.2,"78.2%","3.4","2.4","1H 21M",5,"E","rain","27-Feb-21","20:15","T2","yes","Aberdeen"
16.7,"88%","4.7","0.8","1H 13M",4,"E","snowice","28-Feb-21","14:10","T1","yes","Aberdeen"
10.7,"92.6%","4.5","-1","1H 19M",4,"S","none","01-Mar-21","06:55","T1","yes","Aberdeen"
6.3,"74.6%","6.3","0","1H 55M",3,"W","snowice","02-Mar-21","20:15","T2","yes","Aberdeen"
0,"82.1%","4","1.7","0H 57M",5,"S","none","03-Mar-21","14:10","T1","no","Aberdeen"
7.9,"77.8%","5.6","13.4","1H 7M",2,"S","none","04-Mar-21","06:55","T1","yes","Aberdeen"
9.5,"81.1%","6.2","12.2","1H 1M",2,"S","none","05-Mar-21","06:55","T1","yes","Aberdeen"
0,"71.6%","0.4","0.6","1H 43M",5,"S","snowice","06-Mar-21","20:15","T2","no","Aberdeen"
5.9,"81.9%","3.3","3.6","1H 41M",2,"E","rain","07-Mar-21","14:10","T1","yes","Aberdeen"
42.6,"84.1%","5.9","19.9","0H 57M",2,"W","rain","08-Mar-21","06:55","T1","yes","Aberdeen"
10.6,"74.6%","17.2","-0.6","1H 37M",5,"W","none","09-Mar-21","20:15","T2","yes","Aberdeen"
0,"79.3%","2.2","-2.1","2H 10M",3,"S","none","10-Mar-21","20:15","T2","no","Aberdeen"
0,"83.9%","","","2H 18M",2,"S","none","11-Mar-21","14:10","T2","no","Aberdeen"
53.1,"89.6%","12.3","7.8","1H 15M",3,"W","rain","12-Mar-21","14:10","T1","yes","Aberdeen"
45.9,"95%","8.8","8.6","1H 34M",3,"W","rain","13-Mar-21","14:10","T1","yes","Aberdeen"
0,"80.9%","3","-5.4","2H 8M",2,"S","none","14-Mar-21","14:10","T1","no","Aberdeen"
0,"99.7%","3.5","-6.5","1H 52M",5,"S","none","15-Mar-21","14:10","T1","no","Aberdeen"
14.2,"97.2%","","","1H 25M",6,"S","snowice","16-Mar-21","14:10","T1","yes","Aberdeen"
0,"74.7%","2.8","8.9","1H 38M",3,"S","none","17-Mar-21","20:15","T2","no","Aberdeen"
0,"77.6%","5.1","-0.9","1H 57M",4,"E","none","18-Mar-21","20:15","T2","no","Aberdeen"
28.2,"90.8%","8","7","1H 17M",5,"E","none","19-Mar-21","14:10","T2","yes","Aberdeen"
0,"76.4%","0.6","-5.5","2H 4M",1,"S","rain","20-Mar-21","06:55","T1","no","Aberdeen"
32.1,"76.3%","9","17.5","1H 10M",4,"W","rain","21-Mar-21","20:15","T2","yes","Aberdeen"
5.4,"82%","3.8","10.5","1H 10M",2,"S","none","22-Mar-21","06:55","T1","yes","Aberdeen"
23.6,"86.8%","7.9","11.6","1H 32M",4,"E","none","23-Mar-21","20:15","T2","yes","Aberdeen"
12.1,"83.1%","7.8","1.2","1H 44M",3,"W","rain","24-Mar-21","14:10","T2","yes","Aberdeen"
20.6,"85.8%","7","11.6","1H 1M",2,"E","rain","25-Mar-21","06:55","T1","yes","Aberdeen"
9.7,"72.8%","5.9","5.2","1H 24M",6,"W","rain","26-Mar-21","20:15","T2","yes","Aberdeen"
17.4,"90.2%","7","5.5","1H 11M",7,"S","none","27-Mar-21","14:10","T2","yes","Aberdeen"
5.1,"79.2%","7.8","7.4","1H 28M",3,"N","none","28-Mar-21","14:10","T2","yes","Aberdeen"
0,"76.7%","1.1","9.1","1H 43M",4,"S","rain","29-Mar-21","20:15","T2","no","Aberdeen"
22.7,"98.8%","","","1H 1M",6,"S","none","30-Mar-21","06:55","T1","yes","Aberdeen"
5.2,"91%","7.9","-0.2","1H 50M",3,"S","none","31-Mar-21","14:10","T2","yes","Aberdeen"
10.9,"84.9%","4.5","6.3","1H 27M",7,"S","none","01-Apr-21","20:15","T2","yes","Aberdeen"
0,"77%","8.2","0.6","1H 36M",2,"E","none","02-Apr-21","06:55","T1","no","Aberdeen"
18.2,"91.4%","5.9","5.3","1H 18M",5,"N","none","03-Apr-21","14:10","T2","yes","Aberdeen"
28.9,"82.3%","13.8","11.2","0H 30M",6,"W","none","04-Apr-21","06:55","T2","yes","Aberdeen"
30.4,"86.6%","5.2","17.1","1H 11M",2,"W","rain","05-Apr-21","06:55","T1","yes","Aberdeen"
23.7,"88.1%","6.1","6.5","0H 42M",7,"E","rain","06-Apr-21","14:10","T1","yes","Aberdeen"
59,"93.8%","4.4","13.4","0H 40M",7,"W","rain","07-Apr-21","06:55","T1","yes","Aberdeen"
6.2,"96.9%","7.4","-5.7","1H 42M",7,"S","none","08-Apr-21","20:15","T2","yes","Aberdeen"
5.7,"89.8%","4.6","2.1","1H 27M",5,"S","none","09-Apr-21","14:10","T2","yes","Aberdeen"
17.9,"78.5%","1.6","22.4","2H 4M",1,"W","rain","10-Apr-21","20:15","T1","yes","Aberdeen"
0,"92.1%","4.2","-7","1H 42M",3,"S","none","11-Apr-21","06:55","T1","no","Aberdeen"
0,"72.1%","7.3","6.8","1H 41M",2,"W","none","12-Apr-21","14:10","T2","no","Aberdeen"
9.1,"88.2%","14.4","-2.9","2H 9M",3,"W","none","13-Apr-21","20:15","T1","yes","Aberdeen"
0,"75.4%","0.2","8.3","2H 13M",0,"W","rain","14-Apr-21","06:55","T1","no","Aberdeen"
0,"83.7%","1.5","2.2","1H 35M",2,"S","rain","15-Apr-21","06:55","T1","no","Aberdeen"
0,"88%","2.9","-3.8","2H 8M",4,"E","none","16-Apr-21","20:15","T2","no","Aberdeen"
0,"74.7%","1.6","14.2","1H 21M",1,"E","rain","17-Apr-21","06:55","T1","no","Aberdeen"
0,"84.2%","0.3","3.4","1H 46M",6,"N","rain","18-Apr-21","20:15","T2","no","Aberdeen"
26,"90.9%","12.7","10","0H 52M",6,"E","none","19-Apr-21","06:55","T2","yes","Aberdeen"
0,"70.7%","2.7","-4.1","2H 8M",1,"W","snowice","20-Apr-21","06:55","T1","no","Aberdeen"
28.7,"96.9%","6.9","6.3","1H 6M",5,"E","rain","21-Apr-21","06:55","T1","yes","Aberdeen"
10.5,"84.5%","4.3","9.4","1H 44M",2,"W","rain","22-Apr-21","06:55","T2","yes","Aberdeen"
0,"83.4%","2.6","-2","2H 16M",4,"N","none","23-Apr-21","20:15","T1","no","Aberdeen"
0,"87.7%","1","4.3","0H 50M",8,"S","rain","24-Apr-21","06:55","T2","no","Aberdeen"
28.3,"88.5%","3.9","13.5","1H 13M",6,"W","rain","25-Apr-21","20:15","T2","yes","Aberdeen"
0,"88%","3.9","1.2","2H 13M",2,"E","none","26-Apr-21","14:10","T1","no","Aberdeen"
7.4,"92.6%","2.5","13.4","1H 33M",1,"S","none","27-Apr-21","06:55","T1","yes","Aberdeen"
14.6,"83%","4.3","9.4","1H 28M",4,"W","rain","28-Apr-21","14:10","T1","yes","Aberdeen"
5.3,"84.6%","6.6","6.2","1H 20M",3,"W","none","29-Apr-21","06:55","T1","yes","Aberdeen"
28.5,"96.6%","5.6","7.7","1H 18M",5,"W","rain","30-Apr-21","06:55","T1","yes","Aberdeen"
10.1,"91.5%","6.6","6.9","1H 54M",2,"W","none","01-May-21","06:55","T1","yes","Aberdeen"
5.5,"89.7%","4.5","3.3","1H 6M",4,"N","none","02-May-21","06:55","T1","yes","Aberdeen"
0,"82%","1.4","7.2","2H 5M",3,"W","rain","03-May-21","20:15","T2","no","Aberdeen"
7.2,"94.3%","2.2","4","1H 47M",6,"S","none","04-May-21","20:15","T2","yes","Aberdeen"
5.4,"86%","6.4","0.3","1H 42M",7,"E","none","05-May-21","20:15","T2","yes","Aberdeen"
0,"82.1%","3.2","6.5","1H 25M",4,"W","rain","06-May-21","14:10","T1","no","Aberdeen"
0,"86.7%","2.8","11.3","1H 33M",3,"S","none","07-May-21","14:10","T1","no","Aberdeen"
0,"83.3%","0.2","11.4","1H 33M",6,"N","rain","08-May-21","20:15","T2","no","Aberdeen"
0,"92.1%","2.9","-4","1H 39M",4,"N","none","09-May-21","06:55","T2","no","Aberdeen"
24.6,"94.5%","10.1","8.9","1H 23M",8,"S","none","10-May-21","20:15","T2","yes","Aberdeen"
0,"88.7%","2.2","2.3","1H 59M",1,"S","none","11-May-21","06:55","T1","no","Aberdeen"
12.6,"85.4%","11","13.7","1H 25M",2,"W","none","12-May-21","06:55","T2","yes","Aberdeen"
50.4,"103.6%","7.3","9.2","1H 0M",8,"E","none","13-May-21","14:10","T2","yes","Aberdeen"
0,"84.4%","1.1","4.3","1H 43M",3,"S","none","14-May-21","14:10","T1","no","Aberdeen"
5.8,"90.7%","1.4","5.3","1H 54M",4,"W","rain","15-May-21","14:10","T1","yes","Aberdeen"
0,"83%","","","1H 33M",4,"N","none","16-May-21","14:10","T1","no","Aberdeen"
0,"82.6%","1.7","7.5","1H 43M",3,"W","rain","17-May-21","06:55","T1","no","Aberdeen"
12.2,"90.1%","12","6.1","1H 9M",6,"N","none","18-May-21","14:10","T1","yes","Aberdeen"
0,"75.4%","0.1","18.5","1H 50M",3,"S","none","19-May-21","20:15","T2","no","Aberdeen"
0,"85.8%","2.1","10.7","1H 36M",3,"E","none","20-May-21","06:55","T2","no","Aberdeen"
0,"81.5%","1.7","0.5","2H 3M",4,"W","rain","21-May-21","14:10","T2","no","Aberdeen"
14,"85%","2.4","20.2","1H 16M",3,"W","rain","22-May-21","06:55","T1","yes","Aberdeen"
6.3,"90.2%","3.4","13.4","1H 32M",3,"N","none","23-May-21","06:55","T2","yes","Aberdeen"
19.6,"97.2%","5.2","4.1","1H 25M",8,"E","none","24-May-21","14:10","T2","yes","Aberdeen"
11.4,"92.7%","10.3","6.3","1H 16M",6,"N","none","25-May-21","14:10","T2","yes","Aberdeen"
5.5,"103.9%","4.4","-4","2H 11M",6,"S","none","26-May-21","20:15","T2","yes","Aberdeen"
17,"101.4%","0.7","6.1","0H 55M",8,"N","rain","27-May-21","06:55","T1","yes","Aberdeen"
5.2,"87.6%","4.3","9.3","1H 14M",4,"W","none","28-May-21","06:55","T2","yes","Aberdeen"
8.6,"98.9%","7.4","0.7","2H 12M",3,"W","none","29-May-21","14:10","T1","yes","Aberdeen"
14.2,"97.3%","3.6","12","1H 37M",5,"N","none","30-May-21","14:10","T1","yes","Aberdeen"
0,"79.2%","0.4","12.9","1H 27M",3,"S","none","31-May-21","06:55","T2","no","Aberdeen"
18.7,"89.3%","6.8","16.4","1H 34M",5,"W","none","01-Jun-21","20:15","T2","yes","Aberdeen"
0,"84.2%","2.6","13.6","1H 31M",6,"N","none","02-Jun-21","20:15","T2","no","Aberdeen"
0,"86.5%","0.5","18.8","1H 53M",3,"S","none","03-Jun-21","14:10","T2","no","Aberdeen"
0,"89.1%","1.5","14.5","1H 22M",4,"N","none","04-Jun-21","06:55","T2","no","Aberdeen"
15.9,"105.1%","6.9","1.5","1H 5M",8,"S","none","05-Jun-21","14:10","T1","yes","Aberdeen"
5.4,"89.4%","6.8","8.6","2H 23M",2,"W","none","06-Jun-21","20:15","T1","yes","Aberdeen"
33.1,"96.4%","5.4","11.6","1H 29M",6,"W","rain","07-Jun-21","14:10","T2","yes","Aberdeen"
8.9,"97.7%","0.8","14.7","1H 25M",6,"S","none","08-Jun-21","14:10","T1","yes","Aberdeen"
0,"96%","4.3","-1","1H 1M",8,"S","none","09-Jun-21","06:55","T2","no","Aberdeen"
0,"89.1%","","","1H 10M",4,"S","none","10-Jun-21","06:55","T2","no","Aberdeen"
32.6,"97.2%","7.6","18.2","1H 15M",7,"E","none","11-Jun-21","20:15","T2","yes","Aberdeen"
0,"106.4%","3.8","-1.1","2H 11M",3,"N","none","12-Jun-21","06:55","T1","no","Aberdeen"
7.7,"88%","1.9","11.4","1H 16M",5,"W","rain","13-Jun-21","06:55","T1","yes","Aberdeen"
12.1,"92.8%","2.2","13.7","1H 15M",7,"W","rain","14-Jun-21","14:10","T2","yes","Aberdeen"
0,"83.9%","0.5","9.2","2H 23M",1,"W","rain","15-Jun-21","06:55","T1","no","Aberdeen"
19.5,"92.5%","2.7","21.9","1H 50M",5,"W","none","16-Jun-21","20:15","T2","yes","Aberdeen"
0,"78.7%","0.4","28.4","1H 11M",2,"S","none","17-Jun-21","06:55","T1","no","Aberdeen"
0,"94.8%","0.8","6.9","2H 8M",4,"E","none","18-Jun-21","14:10","T1","no","Aberdeen"
0,"79.1%","2.5","2.5","2H 9M",7,"S","none","19-Jun-21","20:15","T2","no","Aberdeen"
0,"87.3%","0.1","1.7","2H 36M",4,"S","none","20-Jun-21","20:15","T2","no","Aberdeen"
20.4,"106.6%","7.8","10.9","1H 11M",8,"S","none","21-Jun-21","14:10","T2","yes","Aberdeen"
0,"91.5%","1.7","11.1","1H 26M",7,"S","none","22-Jun-21","14:10","T2","no","Aberdeen"
0,"87.6%","1.4","17.8","1H 31M",3,"W","rain","23-Jun-21","06:55","T1","no","Aberdeen"
0,"94.8%","1.1","10.1","2H 6M",5,"W","rain","24-Jun-21","20:15","T1","no","Aberdeen"
0,"75.7%","0.4","16.7","2H 12M",2,"W","none","25-Jun-21","06:55","T2","no","Aberdeen"
0,"80.2%","4.7","22.1","1H 51M",2,"W","none","26-Jun-21","14:10","T1","no","Aberdeen"
0,"81%","0.2","25","2H 14M",1,"E","none","27-Jun-21","06:55","T2","no","Aberdeen"
0,"90.6%","0.1","16.2","2H 1M",3,"S","none","28-Jun-21","06:55","T1","no","Aberdeen"
0,"101.8%","0.8","14.9","2H 1M",7,"N","none","29-Jun-21","20:15","T1","no","Aberdeen"
0,"101.9%","1.8","16.9","2H 17M",3,"N","none","30-Jun-21","14:10","T1","no","Aberdeen"
9.3,"103.8%","2.8","16.2","1H 46M",7,"W","none","01-Jul-21","14:10","T2","yes","Aberdeen"
5.6,"94.5%","0.1","27.7","1H 30M",6,"E","none","02-Jul-21","14:10","T2","yes","Aberdeen"
0,"88.7%","0.3","29.1","1H 4M",13,"W","none","03-Jul-21","20:15","T2","no","Aberdeen"
0,"85.4%","0.7","15.9","1H 38M",5,"S","none","04-Jul-21","06:55","T2","no","Aberdeen"
0,"104.1%","1","15.9","1H 33M",7,"N","none","05-Jul-21","06:55","T1","no","Aberdeen"
0,"93.5%","3.2","18.3","1H 31M",4,"W","none","06-Jul-21","06:55","T1","no","Aberdeen"
27.6,"107.4%","4","11","1H 25M",9,"W","none","07-Jul-21","14:10","T1","yes","Aberdeen"
0,"86.6%","1.5","11.8","2H 11M",3,"E","none","08-Jul-21","14:10","T1","no","Aberdeen"
11.8,"99.2%","1.3","16.4","1H 37M",7,"W","rain","09-Jul-21","06:55","T2","yes","Aberdeen"
14.6,"103.9%","7.8","8.6","1H 20M",8,"E","none","10-Jul-21","14:10","T2","yes","Aberdeen"
25.4,"94.9%","6","24.1","1H 5M",5,"W","none","11-Jul-21","06:55","T1","yes","Aberdeen"
0,"93.4%","2.9","18.1","1H 46M",3,"N","none","12-Jul-21","14:10","T1","no","Aberdeen"
0,"100%","0.7","2.7","1H 45M",5,"N","none","13-Jul-21","06:55","T2","no","Aberdeen"
26.5,"99.1%","10.4","6.9","1H 38M",7,"W","none","14-Jul-21","14:10","T2","yes","Aberdeen"
0,"96.2%","3.2","12.8","1H 43M",4,"N","none","15-Jul-21","06:55","T2","no","Aberdeen"
0,"89.6%","2.5","5.2","2H 14M",2,"N","none","16-Jul-21","06:55","T1","no","Aberdeen"
15.7,"104.4%","3.6","4.3","1H 34M",6,"W","rain","17-Jul-21","14:10","T1","yes","Aberdeen"
0,"85.1%","2.5","9.4","2H 2M",3,"S","none","18-Jul-21","14:10","T2","no","Aberdeen"
23,"91.8%","6.3","19.1","0H 45M",8,"E","none","19-Jul-21","14:10","T2","yes","Aberdeen"
32.9,"90.8%","2.2","25.6","1H 22M",5,"W","rain","20-Jul-21","20:15","T1","yes","Aberdeen"
0,"95.4%","3","7.6","2H 0M",6,"S","none","21-Jul-21","20:15","T2","no","Aberdeen"
0,"90.1%","1.6","7.4","1H 49M",8,"E","none","22-Jul-21","20:15","T2","no","Aberdeen"
0,"95.2%","4","2.8","2H 4M",3,"S","none","23-Jul-21","06:55","T1","no","Aberdeen"
12.4,"91.8%","4.5","10.9","1H 11M",8,"E","none","24-Jul-21","20:15","T2","yes","Aberdeen"
0,"84.3%","0.3","12.4","2H 20M",6,"S","none","25-Jul-21","20:15","T2","no","Aberdeen"
39.4,"95.8%","4.2","22.2","1H 10M",5,"W","none","26-Jul-21","14:10","T1","yes","Aberdeen"
0,"89.3%","1.5","0","1H 46M",6,"N","none","27-Jul-21","14:10","T2","no","Aberdeen"
7.9,"89.7%","0.3","18.3","1H 44M",4,"E","rain","28-Jul-21","14:10","T2","yes","Aberdeen"
0,"84.1%","4.6","16.8","1H 58M",2,"W","none","29-Jul-21","14:10","T1","no","Aberdeen"
20.2,"83.4%","8.9","19.7","0H 58M",4,"W","none","30-Jul-21","06:55","T1","yes","Aberdeen"
6.3,"91.2%","4.7","11.5","1H 24M",6,"S","none","31-Jul-21","14:10","T2","yes","Aberdeen"
0,"98.3%","2.2","1.8","1H 41M",5,"S","none","01-Aug-21","06:55","T2","no","Aberdeen"
27.6,"78.7%","1.5","24.7","1H 30M",7,"W","rain","02-Aug-21","20:15","T2","yes","Aberdeen"
0,"78.1%","2","20.4","1H 35M",2,"S","none","03-Aug-21","06:55","T1","no","Aberdeen"
0,"93.3%","1.9","-3.4","1H 57M",6,"S","none","04-Aug-21","20:15","T2","no","Aberdeen"
0,"99.6%","0.4","5.2","1H 47M",5,"S","none","05-Aug-21","14:10","T1","no","Aberdeen"
10.2,"99%","1.8","7.5","1H 27M",8,"S","none","06-Aug-21","20:15","T2","yes","Aberdeen"
0,"76.4%","3.5","0.8","2H 13M",2,"W","none","07-Aug-21","06:55","T2","no","Aberdeen"
40.3,"99.3%","1.6","23","1H 15M",4,"E","rain","08-Aug-21","14:10","T1","yes","Aberdeen"
0,"79.7%","3.1","-0.6","2H 11M",3,"E","none","09-Aug-21","14:10","T2","no","Aberdeen"
6.9,"82.6%","6.7","7.3","1H 33M",5,"W","none","10-Aug-21","20:15","T1","yes","Aberdeen"
0,"81.9%","1.9","15","1H 0M",4,"S","none","11-Aug-21","06:55","T1","no","Aberdeen"
0,"94.1%","0.4","10.4","1H 33M",4,"S","none","12-Aug-21","06:55","T1","no","Aberdeen"
0,"91.1%","8","-2","1H 55M",4,"S","none","13-Aug-21","14:10","T2","no","Aberdeen"
0,"78.6%","3.2","17.6","1H 34M",4,"E","none","14-Aug-21","20:15","T2","no","Aberdeen"
0,"80.3%","1.9","5.3","1H 54M",2,"S","none","15-Aug-21","14:10","T1","no","Aberdeen"
0,"90.6%","1","4","1H 46M",2,"S","none","16-Aug-21","06:55","T1","no","Aberdeen"
48.1,"94.6%","6.1","20","1H 0M",11,"S","none","17-Aug-21","20:15","T2","yes","Aberdeen"
8.2,"82.1%","0.9","25.4","1H 25M",2,"S","none","18-Aug-21","14:10","T1","yes","Aberdeen"
5.8,"86.7%","1.7","16.7","1H 39M",3,"N","none","19-Aug-21","14:10","T2","yes","Aberdeen"
0,"84.2%","0.7","-2","1H 58M",4,"N","rain","20-Aug-21","20:15","T1","no","Aberdeen"
7.1,"90.3%","2.4","1.4","2H 14M",6,"W","rain","21-Aug-21","20:15","T2","yes","Aberdeen"
0,"84.3%","10.3","-0.6","1H 49M",5,"W","none","22-Aug-21","20:15","T1","no","Aberdeen"
0,"79.7%","3","3.3","2H 5M",1,"S","none","23-Aug-21","06:55","T1","no","Aberdeen"
14.7,"97.7%","12.3","-2.2","1H 15M",7,"E","none","24-Aug-21","14:10","T2","yes","Aberdeen"
25.5,"86%","8.4","15.3","1H 6M",4,"W","rain","25-Aug-21","06:55","T1","yes","Aberdeen"
0,"87%","3.4","6.4","1H 44M",5,"S","none","26-Aug-21","20:15","T2","no","Aberdeen"
18.5,"75.1%","4.6","23","1H 21M",2,"W","rain","27-Aug-21","14:10","T1","yes","Aberdeen"
0,"91.1%","2","-1.1","1H 58M",4,"S","none","28-Aug-21","14:10","T2","no","Aberdeen"
0,"77.1%","0.5","20.3","1H 34M",3,"E","rain","29-Aug-21","14:10","T2","no","Aberdeen"
23.4,"99.2%","4","8","1H 29M",4,"E","rain","30-Aug-21","06:55","T1","yes","Aberdeen"
33.1,"87.9%","5.8","17.4","1H 21M",5,"W","rain","31-Aug-21","20:15","T1","yes","Aberdeen"
37.8,"91.7%","8.9","11.1","1H 18M",5,"W","rain","01-Sep-21","14:10","T2","yes","Aberdeen"
0,"83.2%","14.3","-1.3","1H 44M",2,"W","none","02-Sep-21","06:55","T1","no","Aberdeen"
17.1,"83.7%","3.2","18.4","1H 11M",5,"E","none","03-Sep-21","20:15","T2","yes","Aberdeen"
0,"92.7%","1.5","-5.4","2H 10M",2,"S","none","04-Sep-21","06:55","T1","no","Aberdeen"
10.6,"79.2%","11.9","13.1","1H 26M",3,"W","none","05-Sep-21","14:10","T2","yes","Aberdeen"
48.8,"87.6%","8.8","19.4","0H 43M",6,"W","rain","06-Sep-21","14:10","T2","yes","Aberdeen"
0,"85.5%","","","1H 55M",5,"E","none","07-Sep-21","20:15","T2","no","Aberdeen"
